species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW,
igorata,m,Luzon,50.4,20.7,9.1,4.2,5.2,6.4,3.7,17.2,10.6,27.8,29.3,16.8,26.5,16,2.2,3.4,
igorata,m,Luzon,53.3,19.2,8.6,4.2,5.3,6.2,3.2,17.2,10.2,28.4,29,16.5,27.4,17.5,1.9,2.9,
igorata,m,Luzon,54.9,19.8,9,4.6,5.3,6.2,3.4,16.9,11.1,29.8,31.4,18.3,28.1,16.7,2.2,3.2,
igorata,m,Luzon,49.6,19.3,9,4.7,5.1,7,3.7,17.9,11.9,29.2,30.5,18.2,28.5,17.2,1.8,3.2,
igorata,m,Luzon,54.3,21,9.3,4.4,5.3,6.5,3.5,18.9,11.8,30.1,31,17.6,29.2,17.6,2.3,3.8,
igorata,m,Luzon,51.4,20.2,8.6,3.9,4.8,7,4.7,18,11.1,29,29.8,16.8,29.1,16.9,2.1,3.5,
igorata,m,Luzon,54.1,20.7,8.8,4.6,4.9,7,3.7,17.9,11,28.7,29.8,16.8,27,16,2.1,3.3,
igorata,m,Luzon,50.1,19.1,8.4,4.4,5.1,6.5,3.5,17.3,10.3,26.9,29.1,16.2,26.3,16.5,1.8,3.4,
igorata,m,Luzon,51.9,19.3,8.4,3.8,4.7,6.5,3.5,16.9,10.8,28.6,28.7,16.8,28,17.5,1.9,3.2,
igorata,m,Luzon,53.3,20.7,9.2,4.6,4.8,6.4,4.5,17.9,11.1,28.3,30.4,18,28.5,17.7,2.3,3.4,
igorata,m,Luzon,51.4,20.7,8.8,4,5.1,7.1,3.8,16.7,10.7,27.6,28.7,17.1,27.1,17,2.2,3.1,
igorata,m,Luzon,55.1,20.7,9,4.8,5.1,6.4,3.9,17.8,11.1,29.4,31.7,17.8,30.2,17.9,2,3.5,
igorata,m,Luzon,56.2,21.6,9,4.7,4.9,7.1,3.9,18.8,10.3,30.3,31.6,17.6,29.1,18.2,2.4,3.6,
igorata,m,Luzon,51.7,19.7,8.7,4.9,5,6.3,3.6,16.6,11.2,28.2,29.4,16.6,27.1,16.5,1.9,3.1,
igorata ,m,Luzon,58.3,21.5,8.8,5.1,6.5,7.2,5.4,17.3,11.5,28.3,31.5,16.5,25.6,16.9,1.6,3.3,
igorota ,m,Luzon,51.7,19.2,7.9,4.6,5.9,6.6,4.3,16.6,11.1,26.7,29.7,16.2,25.6,14.9,1.8,2.7,
igorata,f,Luzon,72.1,26.1,12.1,6.1,6.6,7.8,4.2,26.1,14.5,38.1,41.6,23.9,35.9,22.4,2.9,4.9,
igorata,f,Luzon,78.1,27.3,13,7.5,6.8,8.3,4.3,27.7,16.2,42.9,45.7,25.2,40.2,25.2,3.1,4.9,
igorata,f,Luzon,81.7,28.1,13.2,7.2,7.2,8.2,4.7,27.3,15.9,43.1,46.5,25.6,43.9,26.9,3.2,5.4,
igorata,f,Luzon,73.3,26.6,12.1,6.6,6.8,8.1,3.9,25.2,15.1,39.2,41.5,23.4,36.5,23.7,3.1,4.9,
igorata,f,Luzon,76.6,26.8,12.1,6.7,6.5,8.7,4.6,26.6,15.8,40.3,42.9,23.4,40.3,25.8,3,4.8,
igorata,f,Luzon,77.1,28.2,12.4,6.7,7.2,7.9,4.1,27.1,16.2,42.9,45.9,24.8,41.9,26,3.2,5.4,
igorata,f,Luzon,79.2,28.5,12.2,6.7,8,8.7,4.6,28.2,15.5,41.2,43.3,23.5,40.5,22.7,3.1,5.2,
igorata,f,Luzon,78.3,27.1,12,6.9,6.9,8.2,4.2,26.7,15.1,40.5,40.8,22.7,39.7,23.3,3.1,5,
igorata,f,Luzon,72.8,25.4,11.3,6.6,6.7,6.8,3.7,25.1,14.3,40.4,42.3,23.9,40.4,24.9,2.8,4.8,
igorata,f,Luzon,77.9,28.3,12.4,7.4,7.6,8.7,4.2,28.3,15.4,39.4,42.9,24.2,39.2,26,3.2,4.8,
igorata,f,Luzon,67.6,25.8,11.7,6.5,6.6,8.2,3.4,24.7,15,39.7,41.1,22.8,39.5,25.1,3,4.9,
igorata ,f,Luzon,49.7,18.6,8.2,4.5,6.1,6,4,15.3,10.5,26.4,30.1,15.4,24.3,16,1.4,2.5,
sanguinea,m,Palawan,41.9,16.8,7.3,3.3,3.9,5.8,4.4,13.3,8.3,22.4,25.3,14.4,22,11.3,1.8,1.5,
sanguinea,m,Palawan,40.8,16.8,7.7,3.4,3.5,5.3,4.1,13.2,9.6,23.7,27.2,15,23,11.3,1.5,1.2,
sanguinea,m,Palawan,37.9,15.9,6.9,3,3.9,4.9,3.9,11.7,8.2,20.7,23.1,13,21.5,10.1,1.9,1,
sanguinea,m,Palawan,37.3,16,6.5,2.9,3.5,5.4,4,12.2,7.6,20.4,23.9,13.4,21.5,10.8,1.6,1.4,
sanguinea,m,Palawan,38.2,15.8,6.9,3.1,3.7,5.3,3.9,11.7,7.7,20.5,22.7,12.7,20.7,10.5,1.2,1.1,
sanguinea,m,Palawan,39.1,15.9,6.5,3.1,3.5,4.8,3.5,12.1,7.9,21.7,24.4,13.7,21.7,10.9,1.5,1.2,
sanguinea,m,Palawan,39.7,16.2,7.4,3.8,3.6,5.2,3.8,12.7,8.5,22.7,25.5,13.9,22.7,10.6,1.3,1,
sanguinea,m,Palawan,38.8,16.1,7.3,3.1,4,4.4,3.8,12.3,7.9,21.7,23.8,12.9,21.3,11.1,1.3,1.1,
sanguinea,m,Palawan,40.7,16.3,7.2,3.4,3.4,4.9,3.5,12.8,8.6,23.3,26.3,14.6,23.1,11.2,1.4,1.2,
sanguinea,m,Palawan,42.8,16.5,7.1,3.4,3.7,5.2,3.9,13.4,8.6,22.9,26.6,14.3,23.1,11.5,1.5,1.2,
sanguinea,f,Palawan,64.4,23.6,11,5.4,5.7,6.4,4.4,20.8,12.8,35.6,41.3,21.8,36.9,18.1,2.2,1.9,
sanguinea,f,Palawan,65.8,25.2,11.2,5.6,6.2,7,4.8,22.7,13,39.6,44.5,23.7,38.5,19.4,2,2,
sanguinea,f,Palawan,67.3,25.6,11.5,6,5.8,7.8,4.9,23.4,15.4,39.7,46.9,25.4,42.3,19.9,2.1,1.9,
sanguinea,f,Palawan,67.1,24.7,11.4,6.2,6.1,7.1,4.2,22.3,13.7,40.8,44.3,25.1,39.2,19.3,2.2,2,
sanguinea,f,Palawan,66.2,24.3,11.3,6.1,5.8,7.2,4.9,21.7,14.1,37.3,44.3,23.5,38.4,19,2.2,2,
